Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
F1,08/10/2023,Clermont,Lyon,2,7
F1,08/10/2023,Nantes,Lille,2,2
F1,13/10/2023,Rennes,Monaco,2,0
F1,13/10/2023,Lens,Brest,1,2
F1,13/10/2023,Reims,Lens,0,3
F1,14/10/2023,Paris SG,Nice,3,0
F1,14/10/2023,Strasbourg,Clermont,0,1
F1,14/10/2023,Brest,Le Havre,2,0
F1,15/10/2023,Brest,Monaco,1,5
F1,15/10/2023,Monaco,Montpellier,2,1
F1,15/10/2023,Nantes,Le Havre,0,0
F1,20/10/2023,Reims,Monaco,1,4
F1,20/10/2023,Lorient,Lyon,2,1
F1,20/10/2023,Strasbourg,Paris SG,0,0
F1,21/10/2023,Lorient,Clermont,5,1
F1,21/10/2023,Brest,Nice,2,3
F1,21/10/2023,Strasbourg,Le Havre,4,3
F1,22/10/2023,Nice,Marseille,1,1
F1,22/10/2023,Le Havre,Lille,1,4
F1,22/10/2023,Montpellier,Rennes,1,1
F1,27/10/2023,Marseille,Lens,1,0
F1,27/10/2023,Monaco,Paris SG,2,4
F1,27/10/2023,Strasbourg,Metz,2,0
F1,28/10/2023,Montpellier,Lille,1,1
F1,28/10/2023,Lorient,Nantes,4,5
F1,28/10/2023,Metz,Reims,3,0
F1,29/10/2023,Reims,Paris SG,1,6
F1,29/10/2023,Lyon,Toulouse,3,0
F1,29/10/2023,Metz,Lorient,0,0
F1,03/11/2023,Lens,Toulouse,3,1
F1,03/11/2023,Reims,Montpellier,2,2
F1,03/11/2023,Nice,Rennes,0,0
F1,04/11/2023,Clermont,Montpellier,3,1
F1,04/11/2023,Clermont,Le Havre,1,2
F1,04/11/2023,Nantes,Rennes,2,0
F1,05/11/2023,Nantes,Lens,0,2
F1,05/11/2023,Lens,Monaco,0,2
F1,05/11/2023,Lille,Lens,0,3
F1,10/11/2023,Montpellier,Clermont,0,1
F1,10/11/2023,Reims,Nantes,5,3
F1,10/11/2023,Nantes,Metz,2,1
F1,11/11/2023,Lens,Metz,2,0
F1,11/11/2023,Rennes,Marseille,1,0
F1,11/11/2023,Marseille,Metz,1,1
F1,12/11/2023,Lyon,Monaco,2,2
F1,12/11/2023,Marseille,Le Havre,4,2
F1,12/11/2023,Lorient,Strasbourg,3,1
F1,17/11/2023,Strasbourg,Lorient,3,1
F1,17/11/2023,Reims,Strasbourg,2,1
F1,17/11/2023,Monaco,Metz,3,0
F1,18/11/2023,Reims,Metz,1,1
F1,18/11/2023,Strasbourg,Marseille,3,1
F1,18/11/2023,Paris SG,Monaco,1,1
F1,19/11/2023,Paris SG,Clermont,6,1
F1,19/11/2023,Nantes,Marseille,0,3
F1,19/11/2023,Lyon,Brest,2,3
F1,24/11/2023,Strasbourg,Monaco,2,1
F1,24/11/2023,Monaco,Nantes,2,1
F1,24/11/2023,Monaco,Strasbourg,3,2
F1,25/11/2023,Marseille,Brest,1,2
F1,25/11/2023,Paris SG,Reims,4,0
F1,25/11/2023,Metz,Marseille,3,0
F1,26/11/2023,Le Havre,Brest,1,2
F1,26/11/2023,Reims,Rennes,0,2
F1,26/11/2023,Clermont,Brest,1,0
F1,01/12/2023,Marseille,Reims,0,1
F1,01/12/2023,Rennes,Nice,3,1
F1,01/12/2023,Rennes,Nantes,4,2
F1,02/12/2023,Marseille,Toulouse,3,0
F1,02/12/2023,Clermont,Toulouse,0,1
F1,02/12/2023,Monaco,Lens,2,1
F1,03/12/2023,Reims,Le Havre,0,0
F1,03/12/2023,Montpellier,Brest,0,1
F1,03/12/2023,Toulouse,Lyon,3,1
F1,08/12/2023,Lille,Marseille,2,3
F1,08/12/2023,Paris SG,Metz,3,1
F1,08/12/2023,Nantes,Nice,2,2
F1,09/12/2023,Monaco,Clermont,1,1
F1,09/12/2023,Metz,Toulouse,1,1
F1,09/12/2023,Metz,Nantes,2,1
F1,10/12/2023,Metz,Lille,1,0
F1,10/12/2023,Monaco,Le Havre,1,1
F1,10/12/2023,Nice,Montpellier,0,0
F1,15/12/2023,Reims,Lille,2,2
F1,15/12/2023,Nice,Lens,2,1
F1,15/12/2023,Rennes,Brest,0,2
F1,16/12/2023,Brest,Lille,1,0
F1,16/12/2023,Lyon,Le Havre,5,1
F1,16/12/2023,Marseille,Montpellier,2,0
F1,17/12/2023,Paris SG,Montpellier,4,1
F1,17/12/2023,Lorient,Le Havre,0,2
F1,17/12/2023,Brest,Clermont,2,3
F1,22/12/2023,Montpellier,Marseille,1,2
F1,22/12/2023,Le Havre,Clermont,0,0
F1,22/12/2023,Nantes,Reims,2,4
F1,23/12/2023,Lille,Nice,0,1
F1,23/12/2023,Nantes,Strasbourg,3,2
F1,23/12/2023,Reims,Toulouse,4,2
F1,24/12/2023,Le Havre,Lyon,0,0
F1,24/12/2023,Lille,Le Havre,3,0
F1,24/12/2023,Le Havre,Rennes,4,1
F1,29/12/2023,Clermont,Lille,0,3
F1,29/12/2023,Monaco,Marseille,4,2
F1,29/12/2023,Clermont,Nantes,0,2
F1,30/12/2023,Nantes,Lyon,5,1
F1,30/12/2023,Le Havre,Lens,1,3
F1,30/12/2023,Lorient,Lille,2,0
F1,31/12/2023,Lyon,Strasbourg,2,0
F1,31/12/2023,Lens,Lyon,2,1
F1,31/12/2023,Rennes,Clermont,1,4
F1,05/01/2024,Rennes,Lyon,2,1
F1,05/01/2024,Le Havre,Toulouse,3,0
F1,05/01/2024,Lyon,Nice,2,1
F1,06/01/2024,Brest,Lorient,1,1
F1,06/01/2024,Strasbourg,Rennes,3,4
F1,06/01/2024,Montpellier,Monaco,2,4
F1,07/01/2024,Toulouse,Monaco,0,2
F1,07/01/2024,Lille,Nantes,3,2
F1,07/01/2024,Marseille,Lorient,2,1
F1,12/01/2024,Metz,Lens,1,2
F1,12/01/2024,Le Havre,Strasbourg,1,1
F1,12/01/2024,Clermont,Metz,1,2
F1,13/01/2024,Lille,Reims,2,1
F1,13/01/2024,Strasbourg,Nantes,1,0
F1,13/01/2024,Paris SG,Marseille,3,0
F1,14/01/2024,Nice,Lyon,1,0
F1,14/01/2024,Lens,Nantes,2,2
F1,14/01/2024,Marseille,Nantes,3,1
F1,19/01/2024,Metz,Monaco,0,1
F1,19/01/2024,Brest,Lens,2,0
F1,19/01/2024,Le Havre,Lorient,3,1
F1,20/01/2024,Monaco,Toulouse,2,3
F1,20/01/2024,Reims,Brest,2,4
F1,20/01/2024,Monaco,Lorient,1,1
F1,21/01/2024,Paris SG,Lorient,6,0
F1,21/01/2024,Lille,Monaco,6,0
F1,21/01/2024,Brest,Reims,2,1
F1,26/01/2024,Nantes,Toulouse,2,5
F1,26/01/2024,Marseille,Strasbourg,2,1
F1,26/01/2024,Strasbourg,Brest,2,3
F1,27/01/2024,Clermont,Rennes,1,3
F1,27/01/2024,Montpellier,Lorient,1,2
F1,27/01/2024,Lorient,Lens,0,1
F1,28/01/2024,Strasbourg,Nice,2,0
F1,28/01/2024,Rennes,Paris SG,3,4
F1,28/01/2024,Nice,Paris SG,0,2
F1,02/02/2024,Nice,Monaco,2,3
F1,02/02/2024,Lille,Lorient,2,1
F1,02/02/2024,Montpellier,Strasbourg,4,0
F1,03/02/2024,Toulouse,Lens,1,0
F1,03/02/2024,Marseille,Lille,2,1
F1,03/02/2024,Reims,Lorient,3,0
F1,04/02/2024,Nice,Metz,1,0
F1,04/02/2024,Toulouse,Rennes,1,1
F1,04/02/2024,Rennes,Reims,0,1
F1,09/02/2024,Nice,Strasbourg,2,0
F1,09/02/2024,Lorient,Metz,3,0
F1,09/02/2024,Lille,Toulouse,3,0
F1,10/02/2024,Lille,Paris SG,2,1
F1,10/02/2024,Lens,Lorient,4,1
F1,10/02/2024,Clermont,Monaco,1,6
F1,11/02/2024,Marseille,Paris SG,3,4
F1,11/02/2024,Lille,Strasbourg,3,1
F1,11/02/2024,Lorient,Brest,2,1
F1,16/02/2024,Clermont,Marseille,3,4
F1,16/02/2024,Lille,Rennes,1,2
F1,16/02/2024,Rennes,Le Havre,4,1
F1,17/02/2024,Montpellier,Le Havre,0,3
F1,17/02/2024,Montpellier,Nantes,2,1
F1,17/02/2024,Paris SG,Strasbourg,3,0
F1,18/02/2024,Lyon,Lorient,0,1
F1,18/02/2024,Toulouse,Nantes,1,1
F1,18/02/2024,Lens,Le Havre,4,1
F1,23/02/2024,Monaco,Lyon,3,3
F1,23/02/2024,Montpellier,Lyon,0,1
F1,23/02/2024,Lorient,Nice,0,1
F1,24/02/2024,Lens,Marseille,1,1
F1,24/02/2024,Lens,Reims,0,3
F1,24/02/2024,Montpellier,Metz,2,2
F1,25/02/2024,Lens,Clermont,3,1
F1,25/02/2024,Toulouse,Strasbourg,2,3
F1,25/02/2024,Toulouse,Le Havre,2,1
F1,01/03/2024,Lorient,Montpellier,0,1
F1,01/03/2024,Nantes,Brest,2,1
F1,01/03/2024,Lille,Brest,1,3
F1,02/03/2024,Strasbourg,Lens,3,3
F1,02/03/2024,Toulouse,Metz,1,0
F1,02/03/2024,Le Havre,Paris SG,0,2
F1,03/03/2024,Lorient,Paris SG,3,4
F1,03/03/2024,Lyon,Lille,1,2
F1,03/03/2024,Montpellier,Toulouse,1,2
F1,08/03/2024,Strasbourg,Reims,0,3
F1,08/03/2024,Lens,Rennes,2,0
F1,08/03/2024,Le Havre,Monaco,1,3
F1,09/03/2024,Monaco,Brest,4,1
F1,09/03/2024,Lorient,Toulouse,1,3
F1,09/03/2024,Lens,Lille,1,3
F1,10/03/2024,Montpellier,Lens,1,1
F1,10/03/2024,Lyon,Reims,1,2
F1,10/03/2024,Marseille,Nice,2,3
F1,15/03/2024,Metz,Strasbourg,0,1
F1,15/03/2024,Toulouse,Nice,3,0
F1,15/03/2024,Montpellier,Reims,0,1
F1,16/03/2024,Toulouse,Lorient,0,0
F1,16/03/2024,Lens,Strasbourg,1,1
F1,16/03/2024,Strasbourg,Montpellier,1,1
F1,17/03/2024,Clermont,Lens,1,2
F1,17/03/2024,Metz,Le Havre,3,0
F1,17/03/2024,Metz,Paris SG,0,1
F1,22/03/2024,Rennes,Lens,0,0
F1,22/03/2024,Montpellier,Nice,0,0
F1,22/03/2024,Lorient,Rennes,2,1
F1,23/03/2024,Clermont,Paris SG,0,1
F1,23/03/2024,Lens,Paris SG,2,3
F1,23/03/2024,Nice,Toulouse,2,2
F1,24/03/2024,Rennes,Lorient,0,0
F1,24/03/2024,Toulouse,Marseille,1,2
F1,24/03/2024,Le Havre,Marseille,5,3
F1,18/08/2024,Rennes,Nantes,3,1
F1,18/08/2024,Nantes,Paris SG,1,1
F1,18/08/2024,Strasbourg,Lyon,0,1
F1,19/08/2024,Montpellier,Marseille,1,5
F1,19/08/2024,Monaco,Le Havre,3,0
F1,19/08/2024,Rennes,Monaco,1,0
F1,20/08/2024,Metz,Lyon,3,3
F1,20/08/2024,Nice,Lorient,0,1
F1,20/08/2024,Le Havre,Brest,2,2
F1,25/08/2024,Paris SG,Monaco,3,3
F1,25/08/2024,Brest,Montpellier,2,2
F1,25/08/2024,Metz,Lens,1,3
F1,26/08/2024,Lens,Paris SG,0,3
F1,26/08/2024,Nantes,Lorient,3,0
F1,26/08/2024,Nantes,Marseille,0,4
F1,27/08/2024,Lyon,Brest,3,1
F1,27/08/2024,Lens,Lorient,3,1
F1,27/08/2024,Le Havre,Lille,0,0
F1,01/09/2024,Montpellier,Paris SG,3,0
F1,01/09/2024,Brest,Metz,1,0
F1,01/09/2024,Lille,Paris SG,1,1
F1,02/09/2024,Lille,Marseille,2,1
F1,02/09/2024,Metz,Reims,1,0
F1,02/09/2024,Clermont,Rennes,4,3
F1,03/09/2024,Rennes,Toulouse,2,3
F1,03/09/2024,Lyon,Nantes,2,1
F1,03/09/2024,Lens,Monaco,3,3
F1,08/09/2024,Brest,Rennes,1,2
F1,08/09/2024,Nice,Metz,6,1
F1,08/09/2024,Lyon,Clermont,0,2
F1,09/09/2024,Lyon,Toulouse,4,1
F1,09/09/2024,Marseille,Rennes,1,1
F1,09/09/2024,Rennes,Lens,1,3
F1,10/09/2024,Brest,Lyon,1,1
F1,10/09/2024,Paris SG,Le Havre,0,1
F1,10/09/2024,Paris SG,Toulouse,2,0
F1,15/09/2024,Rennes,Marseille,2,1
F1,15/09/2024,Metz,Brest,0,2
F1,15/09/2024,Metz,Toulouse,3,2
F1,16/09/2024,Marseille,Toulouse,3,1
F1,16/09/2024,Lorient,Monaco,0,1
F1,16/09/2024,Paris SG,Nice,9,1
F1,17/09/2024,Brest,Nice,2,2
F1,17/09/2024,Nantes,Lille,0,2
F1,17/09/2024,Marseille,Le Havre,4,2
F1,22/09/2024,Strasbourg,Paris SG,3,0
F1,22/09/2024,Monaco,Montpellier,0,3
F1,22/09/2024,Metz,Clermont,2,4
F1,23/09/2024,Rennes,Brest,3,2
F1,23/09/2024,Reims,Nice,1,0
F1,23/09/2024,Montpellier,Lens,1,2
F1,24/09/2024,Brest,Lille,0,1
F1,24/09/2024,Nantes,Reims,3,1
F1,24/09/2024,Montpellier,Strasbourg,0,4
F1,29/09/2024,Paris SG,Clermont,1,0
F1,29/09/2024,Lens,Lille,3,1
F1,29/09/2024,Paris SG,Marseille,3,1
F1,30/09/2024,Rennes,Lille,1,0
F1,30/09/2024,Clermont,Montpellier,3,2
F1,30/09/2024,Toulouse,Nantes,3,1
F1,01/10/2024,Monaco,Nice,0,2
F1,01/10/2024,Toulouse,Paris SG,1,0
F1,01/10/2024,Metz,Monaco,2,3
F1,06/10/2024,Lille,Brest,4,0
F1,06/10/2024,Lorient,Montpellier,1,2
F1,06/10/2024,Lens,Lyon,1,0
F1,07/10/2024,Nantes,Clermont,2,0
F1,07/10/2024,Paris SG,Reims,2,0
F1,07/10/2024,Marseille,Lille,2,3
F1,08/10/2024,Lyon,Monaco,1,4
F1,08/10/2024,Montpellier,Lille,3,4
F1,08/10/2024,Monaco,Lorient,4,0
F1,13/10/2024,Montpellier,Reims,3,4
F1,13/10/2024,Toulouse,Rennes,0,0
F1,13/10/2024,Montpellier,Nice,0,2
F1,14/10/2024,Strasbourg,Monaco,4,1
F1,14/10/2024,Reims,Clermont,2,0
F1,14/10/2024,Nice,Strasbourg,5,1
F1,15/10/2024,Strasbourg,Nice,0,1
F1,15/10/2024,Monaco,Lyon,2,0
F1,15/10/2024,Lens,Montpellier,0,1
F1,20/10/2024,Strasbourg,Metz,2,0
F1,20/10/2024,Le Havre,Montpellier,2,3
F1,20/10/2024,Le Havre,Metz,2,2
F1,21/10/2024,Nice,Paris SG,4,0
F1,21/10/2024,Marseille,Reims,1,1
F1,21/10/2024,Brest,Reims,1,2
F1,22/10/2024,Lyon,Marseille,2,0
F1,22/10/2024,Marseille,Nice,2,1
F1,22/10/2024,Reims,Rennes,1,1
F1,27/10/2024,Paris SG,Lens,4,1
F1,27/10/2024,Lyon,Strasbourg,2,2
F1,27/10/2024,Lyon,Le Havre,4,0
F1,28/10/2024,Toulouse,Marseille,2,3
F1,28/10/2024,Brest,Nantes,0,1
F1,28/10/2024,Toulouse,Lens,1,0
F1,29/10/2024,Marseille,Strasbourg,5,1
F1,29/10/2024,Le Havre,Nice,1,3
F1,29/10/2024,Nice,Rennes,1,1
F1,03/11/2024,Nice,Le Havre,3,1
F1,03/11/2024,Lens,Brest,2,0
F1,03/11/2024,Lorient,Clermont,1,2
F1,04/11/2024,Strasbourg,Marseille,2,2
F1,04/11/2024,Monaco,Nantes,4,0
F1,04/11/2024,Brest,Strasbourg,1,2
F1,05/11/2024,Clermont,Paris SG,2,7
F1,05/11/2024,Lorient,Rennes,2,3
F1,05/11/2024,Reims,Marseille,3,2
F1,10/11/2024,Nantes,Metz,1,2
F1,10/11/2024,Marseille,Brest,2,1
F1,10/11/2024,Metz,Le Havre,0,2
F1,11/11/2024,Marseille,Montpellier,3,1
F1,11/11/2024,Lille,Clermont,4,1
F1,11/11/2024,Marseille,Lens,2,1
F1,12/11/2024,Metz,Lorient,2,0
F1,12/11/2024,Paris SG,Lorient,3,0
F1,12/11/2024,Lens,Clermont,2,0
F1,17/11/2024,Toulouse,Montpellier,1,3
F1,17/11/2024,Lille,Nice,0,2
F1,17/11/2024,Paris SG,Rennes,2,1
F1,18/11/2024,Lille,Monaco,2,1
F1,18/11/2024,Lyon,Rennes,5,3
F1,18/11/2024,Lens,Strasbourg,3,1
F1,19/11/2024,Strasbourg,Reims,1,2
F1,19/11/2024,Nice,Toulouse,2,1
F1,19/11/2024,Lorient,Nantes,1,0
F1,24/11/2024,Nantes,Lens,1,1
F1,24/11/2024,Le Havre,Lorient,0,3
F1,24/11/2024,Reims,Toulouse,2,2
F1,25/11/2024,Lille,Rennes,0,1
F1,25/11/2024,Lorient,Paris SG,1,0
F1,25/11/2024,Toulouse,Lille,0,1
F1,26/11/2024,Nice,Nantes,2,1
F1,26/11/2024,Monaco,Metz,3,0
F1,26/11/2024,Paris SG,Nantes,8,1
F1,01/12/2024,Lille,Montpellier,2,0
F1,01/12/2024,Marseille,Clermont,2,0
F1,01/12/2024,Lens,Metz,1,1
F1,02/12/2024,Strasbourg,Clermont,2,1
F1,02/12/2024,Lorient,Toulouse,0,3
F1,02/12/2024,Reims,Lorient,3,0
F1,03/12/2024,Clermont,Le Havre,1,3
F1,03/12/2024,Reims,Nantes,0,2
F1,03/12/2024,Reims,Montpellier,4,2
F1,08/12/2024,Montpellier,Metz,5,2
F1,08/12/2024,Lorient,Lyon,1,3
F1,08/12/2024,Lille,Lyon,0,0
F1,09/12/2024,Rennes,Montpellier,1,1
F1,09/12/2024,Le Havre,Lyon,0,1
F1,09/12/2024,Monaco,Paris SG,2,1
F1,10/12/2024,Lille,Lens,3,2
F1,10/12/2024,Rennes,Strasbourg,1,1
F1,10/12/2024,Nantes,Rennes,2,1
F1,15/12/2024,Lyon,Metz,1,0
F1,15/12/2024,Le Havre,Paris SG,0,5
F1,15/12/2024,Brest,Monaco,2,2
F1,16/12/2024,Lorient,Nice,1,0
F1,16/12/2024,Lyon,Paris SG,2,2
F1,16/12/2024,Le Havre,Toulouse,3,1
F1,17/12/2024,Metz,Montpellier,0,0
F1,17/12/2024,Monaco,Brest,2,3
F1,17/12/2024,Lille,Metz,2,1
F1,22/12/2024,Lyon,Lille,1,5
F1,22/12/2024,Lorient,Reims,4,2
F1,22/12/2024,Montpellier,Nantes,1,0
F1,23/12/2024,Lens,Rennes,2,3
F1,23/12/2024,Lille,Lorient,4,1
F1,23/12/2024,Rennes,Metz,4,1
F1,24/12/2024,Rennes,Lorient,0,0
F1,24/12/2024,Strasbourg,Lens,1,0
F1,24/12/2024,Paris SG,Lyon,1,0
F1,29/12/2024,Lorient,Lille,1,1
F1,29/12/2024,Montpellier,Brest,0,3
F1,29/12/2024,Rennes,Clermont,2,1
F1,30/12/2024,Nice,Lille,1,2
F1,30/12/2024,Le Havre,Marseille,2,1
F1,30/12/2024,Lens,Marseille,1,3
F1,31/12/2024,Paris SG,Metz,5,0
F1,31/12/2024,Montpellier,Lyon,1,3
F1,31/12/2024,Monaco,Clermont,0,1
F1,05/01/2025,Le Havre,Rennes,2,2
F1,05/01/2025,Monaco,Strasbourg,2,2
F1,05/01/2025,Marseille,Monaco,0,1
F1,06/01/2025,Toulouse,Lorient,2,1
F1,06/01/2025,Monaco,Lille,2,2
F1,06/01/2025,Montpellier,Rennes,2,0
F1,07/01/2025,Clermont,Toulouse,0,1
F1,07/01/2025,Nantes,Brest,1,3
F1,07/01/2025,Nantes,Strasbourg,1,3
F1,12/01/2025,Monaco,Reims,4,2
F1,12/01/2025,Metz,Nantes,1,1
F1,12/01/2025,Reims,Lens,4,3
F1,13/01/2025,Reims,Metz,2,1
F1,13/01/2025,Rennes,Reims,3,2
F1,13/01/2025,Lorient,Marseille,3,0
F1,14/01/2025,Le Havre,Strasbourg,4,1
F1,14/01/2025,Lyon,Montpellier,2,0
F1,14/01/2025,Montpellier,Lorient,1,0
F1,19/01/2025,Clermont,Monaco,0,2
F1,19/01/2025,Paris SG,Lille,4,2
F1,19/01/2025,Nantes,Nice,1,5
F1,20/01/2025,Clermont,Lorient,2,0
F1,20/01/2025,Brest,Toulouse,0,0
F1,20/01/2025,Nice,Marseille,0,1
F1,21/01/2025,Le Havre,Nantes,3,1
F1,21/01/2025,Reims,Paris SG,2,2
F1,21/01/2025,Le Havre,Clermont,3,1
F1,26/01/2025,Lorient,Le Havre,4,2
F1,26/01/2025,Clermont,Lille,2,1
F1,26/01/2025,Lorient,Brest,1,1
F1,27/01/2025,Metz,Paris SG,0,4
F1,27/01/2025,Lens,Nice,1,2
F1,27/01/2025,Strasbourg,Montpellier,3,1
F1,28/01/2025,Le Havre,Reims,3,1
F1,28/01/2025,Toulouse,Nice,4,2
F1,28/01/2025,Monaco,Marseille,2,1
F1,02/02/2025,Le Havre,Monaco,0,2
F1,02/02/2025,Marseille,Lyon,2,1
F1,02/02/2025,Strasbourg,Rennes,1,1
F1,03/02/2025,Metz,Nice,0,3
F1,03/02/2025,Clermont,Brest,3,2
F1,03/02/2025,Toulouse,Metz,0,0
F1,04/02/2025,Lille,Toulouse,2,0
F1,04/02/2025,Lorient,Lens,0,0
F1,04/02/2025,Brest,Lens,4,1
F1,09/02/2025,Clermont,Metz,2,1
F1,09/02/2025,Montpellier,Monaco,2,3
F1,09/02/2025,Lens,Le Havre,3,0
F1,10/02/2025,Toulouse,Clermont,3,2
F1,10/02/2025,Lens,Nantes,2,3
F1,10/02/2025,Lille,Le Havre,3,2
F1,11/02/2025,Marseille,Nantes,1,1
F1,11/02/2025,Metz,Strasbourg,1,1
F1,11/02/2025,Paris SG,Brest,3,0
F1,16/02/2025,Toulouse,Lyon,0,0
F1,16/02/2025,Toulouse,Brest,2,2
F1,16/02/2025,Montpellier,Toulouse,1,1
F1,17/02/2025,Nice,Clermont,1,0
F1,17/02/2025,Clermont,Nice,1,4
F1,17/02/2025,Metz,Marseille,0,1
F1,18/02/2025,Nantes,Toulouse,0,2
F1,18/02/2025,Monaco,Rennes,1,1
F1,18/02/2025,Reims,Le Havre,7,1
F1,23/02/2025,Brest,Le Havre,5,1
F1,23/02/2025,Le Havre,Lens,1,0
F1,23/02/2025,Nantes,Montpellier,0,1
F1,24/02/2025,Montpellier,Le Havre,2,1
F1,24/02/2025,Lorient,Metz,3,0
F1,24/02/2025,Clermont,Strasbourg,2,0
F1,25/02/2025,Lens,Reims,1,0
F1,25/02/2025,Clermont,Lens,0,3
F1,25/02/2025,Rennes,Paris SG,0,3
F1,02/03/2025,Toulouse,Reims,2,2
F1,02/03/2025,Brest,Clermont,1,0
F1,02/03/2025,Rennes,Nice,1,1
F1,03/03/2025,Reims,Lyon,4,3
F1,03/03/2025,Lyon,Nice,0,4
F1,03/03/2025,Nice,Monaco,1,2
F1,04/03/2025,Reims,Lille,1,2
F1,04/03/2025,Toulouse,Monaco,1,2
F1,04/03/2025,Clermont,Nantes,1,0
F1,09/03/2025,Marseille,Lorient,0,0
F1,09/03/2025,Metz,Rennes,0,5
F1,09/03/2025,Brest,Paris SG,1,3
F1,10/03/2025,Rennes,Le Havre,2,1
F1,10/03/2025,Brest,Marseille,2,2
F1,10/03/2025,Lyon,Lens,2,1
F1,11/03/2025,Reims,Brest,1,1
F1,11/03/2025,Lyon,Lorient,3,0
F1,11/03/2025,Marseille,Metz,0,1
F1,16/03/2025,Nice,Brest,1,1
F1,16/03/2025,Lille,Strasbourg,4,0
F1,16/03/2025,Reims,Monaco,2,4
F1,17/03/2025,Strasbourg,Toulouse,0,1
F1,17/03/2025,Lyon,Reims,2,2
